"song_popularity","liveness","loudness","danceability","song_duration_ms","time_signature","audio_valence","energy","tempo","acousticness","speechiness","key","audio_mode","es_instrumental","valence_binned"
58,0.0858,-7.559,0.83,260666,"4",0.559,0.417,105.765,0.57,0.0423,"8","1",0,"valence_media"
22,0.263,-4.123,0.555,215899,"4",0.458,0.91,153.576,0.0442,0.0399,"3","1",0,"valence_media"
23,0.0835,-10.788,0.68,216506,"4",0.6,0.408,152.038,0.689,0.0554,"7","0",0,"valence_media"
5,0.0624,-10.541,0.843,145659,"4",0.34,0.356,132.04,0.535,0.115,"3","1",0,"valence_media"
78,0.0702,-8.558,0.677,241599,"4",0.796,0.569,94.119,0.599,0.0317,"0","1",0,"valence_alta"
42,0.0536,-8.907,0.59,290293,"4",0.351,0.56,84.689,0.55,0.307,"3","1",0,"valence_media"
11,0.233,-3.782,0.746,166138,"4",0.751,0.877,166.036,0.0375,0.0666,"1","1",0,"valence_alta"
74,0.118,-6.94,0.268,179200,"4",0.0949,0.459,64.177,0.378,0.0346,"7","1",0,"valence_baja"
74,0.106,-7.132,0.592,176075,"4",0.619,0.571,104.95,0.172,0.174,"1","1",0,"valence_media"
50,0.098,-14.805,0.899,222360,"4",0.744,0.59,111.503,0.0113,0.102,"7","1",0,"valence_alta"
55,0.371,-11.541,0.567,287400,"4",0.535,0.867,146.008,0.00384,0.0484,"2","1",1,"valence_media"
26,0.0853,-6.919,0.731,256800,"4",0.425,0.576,75.066,0.405,0.0299,"8","0",0,"valence_media"
0,0.0507,-6.49,0.749,211935,"4",0.847,0.967,140.02,0.000361,0.0323,"6","0",1,"valence_alta"
2,0.129,-6.297,0.552,225533,"4",0.786,0.886,87.167,0.00129,0.0264,"5","0",0,"valence_alta"
4,0.162,-8.03,0.555,207813,"4",0.25,0.502,129.974,0.0243,0.0349,"7","1",0,"valence_baja"
62,0.0974,-9.858,0.865,175200,"4",0.258,0.525,141.866,0.145,0.347,"11","1",0,"valence_baja"
41,0.244,-9.671,0.691,199533,"4",0.946,0.581,136.822,0.504,0.037,"1","0",0,"valence_alta"
77,0.342,-7.033,0.782,268933,"4",0.243,0.436,82.994,0.331,0.155,"2","1",0,"valence_baja"
65,0.101,-10.273,0.471,209573,"4",0.213,0.179,126.555,0.921,0.0357,"9","0",0,"valence_baja"
52,0.176,-6.503,0.698,264853,"4",0.378,0.783,150.039,0.016,0.266,"2","0",0,"valence_media"
58,0.175,-7.358,0.818,223240,"4",0.676,0.625,152.869,0.00297,0.0567,"11","0",0,"valence_alta"
76,0.0864,-8.417,0.728,176702,"4",0.445,0.607,129.938,0.133,0.104,"1","1",0,"valence_media"
62,0.0789,-6.448,0.374,197922,"4",0.705,0.559,107.992,0.0505,0.064,"7","0",0,"valence_alta"
48,0.15,-5.605,0.799,211825,"4",0.815,0.882,140.103,0.0193,0.0819,"1","1",0,"valence_alta"
64,0.154,-13.875,0.394,285866,"4",0.0932,0.0826,131.512,0.946,0.0392,"7","1",0,"valence_baja"
98,0.185,-5.991,0.831,213309,"4",0.737,0.582,123.07,0.0119,0.0394,"2","1",0,"valence_alta"
46,0.12,-6.84,0.901,189493,"4",0.341,0.63,90.045,0.0998,0.162,"11","1",0,"valence_media"
10,0.288,-6.443,0.739,159466,"4",0.767,0.735,100.202,0.00935,0.0345,"2","1",1,"valence_alta"
73,0.0629,-5.436,0.527,210226,"4",0.963,0.978,141.169,0.00124,0.109,"8","0",0,"valence_alta"
56,0.591,-2.605,0.719,198093,"4",0.808,0.907,119.006,0.135,0.0326,"6","0",0,"valence_alta"
55,0.232,-7.608,0.447,234904,"4",0.293,0.468,153.727,0.054,0.0425,"0","1",0,"valence_baja"
55,0.0868,-21.672,0.172,186400,"5",0.0417,0.103,104.053,0.949,0.0408,"0","1",1,"valence_baja"
73,0.399,-3.887,0.499,276040,"4",0.26,0.972,139.865,0.0386,0.267,"9","0",0,"valence_baja"
80,0.204,-3.686,0.725,204022,"4",0.859,0.834,120.026,0.0784,0.037,"5","0",0,"valence_alta"
62,0.211,-15.584,0.643,159102,"1",0.302,0.213,137.709,0.891,0.0324,"5","1",0,"valence_baja"
99,0.259,-12.111,0.901,137493,"4",0.329,0.456,109.972,0.424,0.33,"2","1",0,"valence_baja"
84,0.116,-5.025,0.69,210090,"4",0.544,0.622,121.993,0.278,0.0622,"5","0",0,"valence_media"
56,0.0941,-6.221,0.83,275560,"4",0.376,0.585,101.031,1e-04,0.0468,"2","1",0,"valence_media"
68,0.091,-5.046,0.699,193761,"4",0.484,0.583,121.318,0.05,0.263,"6","0",0,"valence_media"
68,0.108,-8.524,0.685,169251,"4",0.437,0.203,89.646,0.829,0.0668,"9","0",0,"valence_media"
77,0.287,-4.813,0.743,231173,"4",0.538,0.88,130.027,0.000176,0.0414,"4","0",0,"valence_media"
58,0.121,-5.534,0.368,209520,"4",0.114,0.869,172.202,0.000307,0.0828,"0","1",1,"valence_baja"
58,0.659,-6.288,0.618,404413,"4",0.6,0.733,120.567,0.0565,0.0373,"2","1",1,"valence_media"
59,0.605,-6.773,0.593,241013,"4",0.473,0.833,147.996,0.204,0.0504,"3","1",1,"valence_media"
34,0.119,-8.585,0.637,207800,"4",0.137,0.444,141.922,0.652,0.0276,"2","1",0,"valence_baja"
72,0.411,-9.397,0.497,222733,"4",0.138,0.447,95.769,0.0613,0.0266,"6","1",0,"valence_baja"
44,0.724,-4.802,0.262,198867,"4",0.468,0.881,127.947,0.000924,0.0333,"2","1",0,"valence_media"
45,0.105,-4.757,0.604,275080,"4",0.777,0.786,177.833,0.0091,0.106,"2","1",0,"valence_alta"
89,0.101,-6.431,0.774,230761,"4",0.756,0.486,128.038,0.0129,0.0311,"10","0",0,"valence_alta"
51,0.0838,-6.942,0.77,238568,"4",0.0515,0.444,99.16,0.151,0.0399,"7","1",0,"valence_baja"
67,0.18,-3.212,0.615,180853,"4",0.437,0.75,129.02,0.0812,0.0485,"6","1",0,"valence_media"
60,0.104,-11.587,0.591,257266,"4",0.36,0.513,150.036,0.146,0.0858,"4","0",0,"valence_media"
65,0.0968,-5.904,0.71,256622,"4",0.458,0.839,122.018,0.0183,0.149,"6","0",0,"valence_media"
51,0.485,-6.989,0.66,160306,"4",0.324,0.733,124.012,0.0199,0.0333,"0","1",0,"valence_baja"
48,0.119,-8.098,0.832,160826,"4",0.667,0.531,78.926,0.0017,0.0448,"11","0",0,"valence_alta"
78,0.11,-7.335,0.509,252866,"4",0.244,0.559,75.089,0.385,0.0572,"7","1",0,"valence_baja"
24,0.0717,-6.518,0.565,224280,"4",0.229,0.541,84.729,0.735,0.412,"6","0",0,"valence_baja"
37,0.119,-6.246,0.515,198960,"4",0.892,0.603,135.974,0.639,0.0318,"10","1",0,"valence_alta"
79,0.203,-9.545,0.441,208226,"3",0.105,0.514,174.118,0.65,0.0449,"2","1",1,"valence_baja"
40,0.108,-6.089,0.614,202226,"4",0.582,0.504,96.737,0.551,0.199,"7","0",1,"valence_media"
57,0.349,-8.455,0.853,308946,"4",0.171,0.441,113.403,0.0248,0.075,"5","1",0,"valence_baja"
19,0.17,-4.876,0.718,270883,"4",0.888,0.847,91.158,0.485,0.29,"2","1",0,"valence_alta"
56,0.297,-9.196,0.829,303433,"4",0.716,0.522,130.937,0.567,0.116,"9","1",0,"valence_alta"
51,0.159,-5.399,0.519,192826,"4",0.243,0.553,99.909,0.188,0.0263,"6","0",0,"valence_baja"
53,0.0609,-8.248,0.805,348318,"4",0.173,0.644,100.001,0.0938,0.029,"1","1",1,"valence_baja"
19,0.063,-11.267,0.514,238493,"4",0.203,0.744,94.574,0.0218,0.0338,"8","1",1,"valence_baja"
65,0.0939,-9.443,0.839,135016,"4",0.0644,0.473,101.025,0.641,0.0607,"10","0",0,"valence_baja"
46,0.0886,-7.269,0.646,211306,"4",0.412,0.506,139.991,0.184,0.0307,"10","0",0,"valence_media"
67,0.0699,-4.19,0.705,241040,"4",0.902,0.917,152.113,0.0109,0.0395,"9","0",0,"valence_alta"
79,0.103,-9.545,0.734,208226,"3",0.105,0.379,174.118,0.968,0.125,"7","0",0,"valence_baja"
65,0.538,-7.539,0.421,175615,"4",0.398,0.699,77.737,0.208,0.044,"2","0",0,"valence_media"
37,0.125,-4.144,0.476,124173,"4",0.287,0.551,140.008,0.047,0.0501,"1","1",0,"valence_baja"
60,0.221,-5.867,0.66,211533,"4",0.458,0.927,136.247,0.461,0.0471,"5","0",0,"valence_media"
68,0.204,-10.863,0.329,433520,"4",0.189,0.306,170.169,0.739,0.0327,"2","0",0,"valence_baja"
16,0.0658,-5.425,0.636,198213,"3",0.743,0.634,200.014,0.293,0.0535,"7","1",0,"valence_alta"
68,0.846,-2.555,0.845,229840,"4",0.619,0.905,147.902,0.00987,0.0787,"1","0",1,"valence_media"
67,0.815,-6.458,0.71,232800,"4",0.875,0.882,118.011,0.00777,0.274,"4","0",0,"valence_alta"
53,0.175,-5.114,0.673,167426,"4",0.749,0.84,144.184,0.126,0.0381,"1","1",0,"valence_alta"
70,0.418,-8.768,0.625,215030,"4",0.555,0.685,98.027,0.0562,0.272,"1","1",0,"valence_media"
83,0.0829,-5.881,0.794,189213,"4",0.78,0.861,104.034,0.0108,0.0323,"11","1",0,"valence_alta"
43,0.457,-8.308,0.462,575200,"4",0.53,0.589,108.37,0.322,0.0339,"2","1",0,"valence_media"
87,0.0702,-7.114,0.755,174860,"4",0.374,0.625,147.02,0.49,0.0896,"2","1",0,"valence_media"
55,0.185,-3.833,0.416,300106,"4",0.677,0.977,144.97,0.15,0.0503,"8","1",0,"valence_alta"
42,0.0534,-5.066,0.593,198000,"4",0.477,0.829,160.012,0.0391,0.0763,"7","1",0,"valence_media"
97,0.146,-6.442,0.669,196400,"4",0.718,0.848,120.046,0.0175,0.0286,"4","0",0,"valence_alta"
67,0.195,-3.95,0.743,177464,"4",0.657,0.907,141.988,0.0292,0.0672,"10","0",0,"valence_media"
71,0.14,-7.249,0.799,280853,"4",0.816,0.878,124.96,0.189,0.109,"1","1",0,"valence_alta"
59,0.0942,-4.807,0.96,224506,"4",0.35,0.892,137.35,0.00187,0.338,"10","0",0,"valence_media"
73,0.76,-5.156,0.539,230693,"4",0.752,0.884,100.812,0.382,0.0403,"9","1",0,"valence_alta"
90,0.163,-4.882,0.533,180897,"4",0.319,0.671,146.067,0.268,0.0495,"6","1",0,"valence_baja"
59,0.573,-7.755,0.457,188986,"4",0.47,0.792,103.07,0.208,0.248,"1","0",0,"valence_media"
59,0.0811,-14.995,0.808,235093,"4",0.913,0.637,115.151,5.62e-06,0.0353,"4","1",1,"valence_alta"
51,0.833,-1.976,0.468,195389,"4",0.698,0.939,176.075,0.0109,0.112,"11","1",0,"valence_alta"
39,0.119,-7.552,0.489,141583,"4",0.946,0.64,119.935,0.0129,0.0424,"3","1",0,"valence_alta"
47,0.0663,-8.227,0.564,183706,"4",0.633,0.62,176.405,0.169,0.063,"4","1",1,"valence_media"
77,0.128,-7.711,0.524,356400,"4",0.841,0.901,125.148,0.141,0.0526,"6","1",0,"valence_alta"
49,0.143,-5.721,0.606,178263,"4",0.435,0.758,116.043,0.000289,0.027,"5","0",1,"valence_media"
90,0.162,-4.296,0.74,152000,"4",0.832,0.63,149.989,0.13,0.395,"0","1",0,"valence_alta"
54,0.28,-12.751,0.684,202500,"4",0.591,0.296,119.992,0.888,0.0331,"6","1",0,"valence_media"
60,0.146,-9.594,0.62,201683,"4",0.506,0.374,127.999,0.853,0.026,"1","1",0,"valence_media"
35,0.282,-7.064,0.585,279440,"4",0.654,0.7,103.78,0.534,0.0385,"3","0",0,"valence_media"
60,0.308,-7.032,0.761,215917,"4",0.786,0.701,99.982,0.136,0.0559,"6","0",0,"valence_alta"
23,0.424,-7.716,0.782,146484,"4",0.642,0.591,114.016,0.0275,0.039,"9","0",0,"valence_media"
79,0.155,-4.987,0.75,204013,"4",0.33,0.714,175.924,0.0391,0.129,"7","0",0,"valence_baja"
32,0.125,-6.546,0.837,358426,"4",0.524,0.543,95.977,0.0415,0.0442,"9","1",0,"valence_media"
91,0.0965,-7.979,0.825,225199,"4",0.543,0.615,98.056,0.00203,0.326,"11","0",0,"valence_media"
68,0.0878,-6.924,0.749,234373,"4",0.798,0.637,99.951,0.273,0.0764,"7","1",0,"valence_alta"
69,0.181,-11.169,0.6,265371,"4",0.518,0.63,136.543,0.169,0.0389,"2","1",0,"valence_media"
57,0.124,-8.842,0.805,278655,"4",0.173,0.385,104.564,0.284,0.239,"7","1",0,"valence_baja"
92,0.0912,-7.906,0.575,199226,"4",0.24,0.742,89.902,0.0558,0.0439,"1","0",0,"valence_baja"
28,0.0993,-8.591,0.8,210666,"4",0.909,0.439,167.908,0.296,0.115,"10","1",0,"valence_alta"
63,0.133,-9.428,0.47,266997,"4",0.489,0.381,100.049,0.768,0.0321,"10","1",0,"valence_media"
66,0.122,-9.275,0.669,180005,"4",0.176,0.576,120.045,0.000277,0.0549,"2","1",0,"valence_baja"
34,0.264,-4.084,0.507,247504,"4",0.336,0.755,128.015,0.00731,0.141,"11","0",0,"valence_media"
40,0.301,-7.431,0.651,232880,"4",0.287,0.261,104.116,0.889,0.0266,"1","0",0,"valence_baja"
8,0.0736,-4.068,0.638,188138,"4",0.305,0.807,120.033,0.173,0.066,"9","1",0,"valence_baja"
28,0.59,-7.093,0.504,230333,"4",0.447,0.801,183.985,0.000527,0.0574,"11","1",0,"valence_media"
57,0.0971,-5.449,0.481,235800,"4",0.775,0.922,154.038,0.0238,0.064,"3","0",0,"valence_alta"
58,0.0748,-10.19,0.64,225133,"4",0.288,0.667,122.994,0.000211,0.0634,"11","0",1,"valence_baja"
46,0.353,-7.811,0.6,179640,"4",0.826,0.734,126.682,0.0116,0.163,"5","1",0,"valence_alta"
69,0.0719,-2.451,0.729,197253,"4",0.62,0.771,125.011,0.00761,0.1,"4","1",0,"valence_media"
1,0.338,-3.883,0.408,272665,"4",0.291,0.953,177.94,0.00532,0.226,"7","1",0,"valence_baja"
9,0.331,-5.77,0.666,203480,"4",0.734,0.876,125.013,0.0647,0.0373,"7","0",0,"valence_alta"
71,0.0707,-5.48,0.59,178131,"4",0.4,0.678,126.061,0.0259,0.038,"1","0",0,"valence_media"
74,0.57,-4.408,0.714,135920,"4",0.239,0.566,113.074,0.142,0.056,"5","1",0,"valence_baja"
51,0.635,-5.78,0.218,184950,"4",0.372,0.727,177.371,0.431,0.0442,"1","1",0,"valence_media"
53,0.0568,-8.329,0.573,182224,"4",0.851,0.71,91.998,0.149,0.0325,"10","0",0,"valence_alta"
58,0.151,-9.674,0.698,160000,"4",0.824,0.661,131.808,0.636,0.0416,"4","1",0,"valence_alta"
76,0.0595,-10.49,0.605,250001,"4",0.474,0.335,141.839,0.704,0.0228,"2","1",0,"valence_media"
37,0.141,-9.096,0.791,376600,"4",0.901,0.834,125.014,0.108,0.0289,"2","1",0,"valence_alta"
54,0.184,-9.539,0.845,267152,"4",0.694,0.662,118.005,0.0447,0.0567,"9","1",1,"valence_alta"
1,0.167,-4.152,0.647,209306,"4",0.967,0.85,150.092,0.00141,0.0488,"2","1",0,"valence_alta"
59,0.138,-4.909,0.657,210221,"4",0.311,0.588,121.983,0.0584,0.155,"0","1",0,"valence_baja"
78,0.0759,-6.237,0.438,240800,"4",0.564,0.569,90.519,0.541,0.0624,"4","1",0,"valence_media"
8,0.125,-8.332,0.658,283297,"3",0.856,0.519,80.241,0.301,0.103,"7","1",0,"valence_alta"
73,0.108,-9.343,0.554,217633,"4",0.281,0.374,100.017,0.0632,0.0439,"1","1",0,"valence_baja"
63,0.101,-9.381,0.352,246000,"4",0.16,0.233,129.759,0.73,0.0318,"0","1",0,"valence_baja"
72,0.193,-15.563,0.71,230760,"4",0.534,0.373,98.035,0.259,0.0558,"3","1",0,"valence_media"
46,0.364,-3.179,0.666,229218,"4",0.32,0.915,147.233,1.88e-05,0.0992,"0","1",0,"valence_baja"
47,0.11,-7.113,0.493,195676,"4",0.422,0.445,81.581,0.838,0.0364,"7","1",0,"valence_media"
37,0.0819,-3.585,0.927,207982,"4",0.352,0.923,122.998,0.00113,0.0475,"9","0",0,"valence_media"
78,0.122,-6.702,0.845,200265,"4",0.721,0.668,150.014,0.0636,0.0447,"1","1",1,"valence_alta"
50,0.125,-7.702,0.805,155453,"4",0.545,0.496,126.104,0.153,0.0595,"2","1",0,"valence_media"
65,0.0882,-12.93,0.606,199426,"4",0.327,0.211,174.118,0.911,0.0466,"0","1",0,"valence_baja"
51,0.138,-8.865,0.586,225611,"4",0.556,0.603,88.02,0.0155,0.0402,"4","0",0,"valence_media"
72,0.128,-6.784,0.429,149453,"4",0.235,0.564,140.055,0.0193,0.0268,"11","0",0,"valence_baja"
83,0.0992,-4.566,0.783,215151,"4",0.674,0.58,130.04,0.266,0.283,"11","0",0,"valence_alta"
54,0.33,-4.231,0.736,226226,"4",0.442,0.823,124.954,0.0321,0.0658,"5","1",0,"valence_media"
71,0.109,-6.127,0.331,205160,"3",0.112,0.592,151.448,0.0824,0.0371,"1","1",0,"valence_baja"
60,0.093,-7.217,0.651,226442,"4",0.425,0.711,125.089,0.111,0.0378,"3","0",0,"valence_media"
46,0.0545,-6.035,0.923,166453,"4",0.849,0.498,139.032,0.745,0.0495,"3","0",0,"valence_alta"
76,0.0856,-4.729,0.844,263826,"4",0.486,0.59,120.002,0.000156,0.0402,"0","1",0,"valence_media"
62,0.425,-7.406,0.647,121346,"4",0.942,0.8,85.004,0.00187,0.0885,"7","1",0,"valence_alta"
58,0.111,-5.531,0.639,178456,"4",0.318,0.565,128.018,0.282,0.0277,"4","1",0,"valence_baja"
17,0.111,-7.055,0.621,202754,"4",0.517,0.954,127.034,0.0188,0.542,"10","0",0,"valence_media"
57,0.148,-16.254,0.621,195906,"4",0.396,0.309,72.916,0.781,0.0384,"10","0",0,"valence_media"
1,0.111,-14.31,0.573,152613,"4",0.256,0.304,102.686,0.332,0.0273,"8","1",0,"valence_baja"
69,0.271,-4.141,0.67,130293,"4",0.285,0.724,125.034,0.577,0.361,"11","1",0,"valence_baja"
57,0.0714,-7.619,0.667,222641,"4",0.0758,0.789,112.437,0.0322,0.0362,"1","1",1,"valence_baja"
65,0.115,-4.296,0.207,202346,"3",0.242,0.714,94.082,0.395,0.0328,"7","1",0,"valence_baja"
49,0.129,-13.357,0.685,180973,"4",0.214,0.316,154.984,0.303,0.0438,"5","1",0,"valence_baja"
40,0.143,-7.859,0.608,247480,"4",0.835,0.727,127.172,0.194,0.0709,"3","1",0,"valence_alta"
61,0.0991,-6.273,0.61,241607,"4",0.42,0.785,100.736,0.188,0.034,"9","0",0,"valence_media"
0,0.308,-7.734,0.802,209110,"4",0.621,0.564,129.997,0.00295,0.111,"11","0",1,"valence_media"
48,0.09,-9.342,0.589,224287,"4",0.0608,0.321,109.268,0.148,0.0355,"1","1",0,"valence_baja"
77,0.0824,-11.456,0.967,227546,"4",0.964,0.583,92.05,0.00717,0.0946,"7","1",0,"valence_alta"
68,0.218,-4.499,0.822,241933,"4",0.709,0.753,118.982,0.0337,0.0332,"7","1",0,"valence_alta"
58,0.573,-4.568,0.86,181850,"4",0.321,0.66,93.967,0.0174,0.208,"1","1",0,"valence_baja"
55,0.155,-4.766,0.694,248519,"4",0.359,0.714,188.962,0.0223,0.0406,"2","0",0,"valence_media"
15,0.0967,-11.923,0.584,188093,"4",0.657,0.525,102.174,0.877,0.0686,"3","1",0,"valence_media"
86,0.184,-6.061,0.908,281560,"4",0.591,0.445,78.998,0.474,0.383,"2","1",0,"valence_media"
47,0.12,-6.71,0.724,210986,"4",0.0608,0.576,174.436,0.0116,0.0483,"10","0",0,"valence_baja"
64,0.0734,-7.762,0.895,185013,"4",0.592,0.557,81.064,0.0357,0.0738,"0","1",0,"valence_media"
51,0.0695,-11.889,0.55,279973,"4",0.096,0.444,131.717,0.000416,0.152,"1","1",0,"valence_baja"
68,0.091,-9.731,0.699,185743,"4",0.484,0.583,109.001,0.585,0.052,"6","1",0,"valence_media"
59,0.128,-4.786,0.539,301706,"4",0.627,0.909,115.977,0.00011,0.0342,"8","1",0,"valence_media"
81,0.144,-4.666,0.66,204150,"4",0.0654,0.556,152.914,0.0142,0.169,"7","1",0,"valence_baja"
59,0.249,-8.473,0.521,271533,"4",0.71,0.73,192.147,0.0282,0.205,"4","1",0,"valence_alta"
66,0.208,-4.331,0.583,279346,"4",0.284,0.755,91.117,0.323,0.0422,"10","0",0,"valence_baja"
3,0.121,-7.124,0.456,292800,"4",0.282,0.893,95.136,0.00119,0.0412,"7","1",0,"valence_baja"
61,0.122,-6.503,0.963,221228,"4",0.503,0.677,102.482,0.000704,0.114,"0","1",0,"valence_media"
45,0.112,-4.277,0.651,304786,"4",0.763,0.761,130.007,0.000333,0.0354,"1","1",0,"valence_alta"
3,0.34,-7.301,0.561,188174,"4",0.52,0.887,122.571,2.45e-05,0.0309,"0","1",1,"valence_media"
67,0.358,-9.829,0.631,185491,"4",0.0611,0.67,144.983,0.0223,0.0323,"3","1",0,"valence_baja"
32,0.22,-8.168,0.889,185186,"4",0.962,0.836,133.521,0.608,0.0541,"6","0",0,"valence_alta"
72,0.166,-8.999,0.799,221565,"4",0.534,0.373,99.99,0.259,0.0558,"7","1",0,"valence_media"
79,0.0705,-7.108,0.743,230408,"4",0.864,0.97,75.422,0.0991,0.098,"10","0",0,"valence_alta"
3,0.243,-11.291,0.699,291178,"4",0.813,0.698,107.15,0.315,0.0345,"2","1",0,"valence_alta"
22,0.269,-6.876,0.621,250285,"4",0.346,0.804,140.078,0.142,0.0295,"5","1",1,"valence_media"
72,0.356,-9.163,0.445,186463,"4",0.159,0.357,147.062,0.153,0.0323,"4","1",0,"valence_baja"
63,0.346,-12.008,0.569,159462,"4",0.213,0.507,127.858,0.0757,0.0778,"0","0",0,"valence_baja"
94,0.099,-6.35,0.818,163404,"4",0.174,0.54,97.064,0.0143,0.0544,"6","0",0,"valence_baja"
46,0.133,-4.78,0.323,262450,"4",0.55,0.914,175.152,0.0464,0.0316,"1","1",0,"valence_media"
72,0.203,-5.931,0.607,238160,"4",0.567,0.629,129.579,0.405,0.128,"11","1",0,"valence_media"
58,0.106,-2.416,0.604,200624,"4",0.225,0.796,95.116,0.0126,0.0597,"1","0",0,"valence_baja"
42,0.0731,-5.931,0.902,220213,"4",0.69,0.522,137.811,0.206,0.0501,"9","0",0,"valence_alta"
64,0.324,-3.989,0.722,200170,"4",0.79,0.88,131.863,0.21,0.24,"2","1",0,"valence_alta"
38,0.0454,-1.809,0.716,189334,"4",0.768,0.869,113.027,0.0294,0.0694,"8","1",0,"valence_alta"
0,0.417,-8.444,0.955,158769,"4",0.904,0.492,130.062,0.0987,0.21,"8","1",0,"valence_alta"
0,0.0868,-5.876,0.849,207430,"4",0.5,0.587,148.217,0.872,0.363,"7","1",0,"valence_media"
70,0.257,-5.244,0.684,216000,"4",0.538,0.787,122.058,0.112,0.102,"8","1",0,"valence_media"
2,0.0711,-6.916,0.684,314893,"4",0.914,0.881,119.993,0.0133,0.681,"4","0",0,"valence_alta"
53,0.119,-14.244,0.763,241910,"4",0.715,0.364,137.132,0.556,0.0559,"0","1",0,"valence_alta"
42,0.0575,-13.598,0.346,299000,"4",0.439,0.572,127.457,0.487,0.118,"9","1",0,"valence_media"
14,0.105,-2.744,0.521,225760,"4",0.707,0.921,74.89,0.00966,0.0382,"11","1",0,"valence_alta"
49,0.105,-11.036,0.655,190161,"4",0.436,0.336,150.407,0.919,0.0467,"5","1",0,"valence_media"
53,0.0734,-15.46,0.651,155266,"4",0.937,0.49,99.959,0.255,0.0357,"7","1",0,"valence_alta"
63,0.225,-6.074,0.679,188026,"4",0.575,0.794,99.983,0.266,0.0493,"4","1",0,"valence_media"
47,0.068,-19.16,0.592,163533,"4",0.0735,0.0132,104.238,0.904,0.0483,"5","1",1,"valence_baja"
44,0.0659,-9.358,0.693,257826,"3",0.526,0.624,113.999,0.352,0.336,"11","0",0,"valence_media"
43,0.101,-11.674,0.788,151990,"4",0.881,0.469,120.013,0.74,0.0347,"4","1",0,"valence_alta"
62,0.102,-9.484,0.563,273437,"4",0.369,0.31,72.988,0.646,0.0343,"2","1",0,"valence_media"
70,0.295,-11.155,0.335,265108,"4",0.393,0.314,122.446,0.535,0.0411,"8","1",0,"valence_media"
45,0.23,-6.211,0.813,304606,"4",0.9,0.869,83.17,0.365,0.133,"7","1",0,"valence_alta"
27,0.132,-3.804,0.641,208400,"4",0.723,0.914,145.933,0.0799,0.05,"7","0",0,"valence_alta"
79,0.148,-8.131,0.619,181913,"3",0.213,0.289,104.851,0.645,0.0348,"0","1",0,"valence_baja"
72,0.14,-7.242,0.808,254540,"4",0.551,0.586,124.041,0.738,0.169,"10","0",0,"valence_media"
33,0.102,-9.961,0.851,232959,"4",0.899,0.505,140.018,0.0645,0.0407,"5","1",0,"valence_alta"
74,0.115,-6.587,0.507,217652,"4",0.571,0.626,109.989,0.132,0.0348,"9","1",0,"valence_media"
68,0.709,-5.182,0.575,247106,"4",0.608,0.886,137.995,0.0647,0.034,"5","1",0,"valence_media"
51,0.0593,-9.705,0.231,221196,"4",0.289,0.465,80.027,0.482,0.0373,"6","1",0,"valence_baja"
51,0.327,-5.969,0.638,192333,"4",0.504,0.937,100.03,0.0942,0.0444,"0","1",0,"valence_media"
43,0.701,-11.845,0.44,109882,"4",0.489,0.138,77.377,0.712,0.0572,"1","1",0,"valence_media"
38,0.395,-8.21,0.791,212066,"4",0.954,0.797,98.022,0.0965,0.0554,"10","0",0,"valence_alta"
63,0.14,-5.416,0.593,199533,"4",0.428,0.697,173.828,0.00289,0.0574,"7","1",0,"valence_media"
39,0.156,-12.379,0.501,189750,"4",0.112,0.273,123.77,0.232,0.0547,"4","1",0,"valence_baja"
