"song_popularity","danceability","energy","acousticness","es_instrumental"
8,0.638,0.807,0.173,0
28,0.504,0.801,0.000527,0
57,0.481,0.922,0.0238,0
58,0.64,0.667,0.000211,1
46,0.6,0.734,0.0116,0
69,0.729,0.771,0.00761,0
1,0.408,0.953,0.00532,0
9,0.666,0.876,0.0647,0
71,0.59,0.678,0.0259,0
74,0.714,0.566,0.142,0
51,0.372,0.727,0.0563,0
53,0.876,0.586,0.149,0
58,0.698,0.661,0.636,0
76,0.605,0.335,0.704,0
37,0.791,0.79,0.00255,0
54,0.845,0.819,0.0447,1
1,0.604,0.85,0.00141,0
59,0.657,0.861,0.0655,0
78,0.438,0.815,0.228,0
8,0.679,0.519,0.000473,0
73,0.554,0.615,0.0632,0
63,0.502,0.233,0.773,0
72,0.607,0.373,0.259,0
46,0.363,0.915,0.012,0
47,0.493,0.445,0.907,0
37,0.489,0.923,0.00113,0
78,0.845,0.668,0.2,0
50,0.805,0.496,0.369,0
65,0.867,0.211,0.911,0
51,0.586,0.603,0.0155,0
72,0.429,0.564,0.0193,0
83,0.575,0.732,0.266,0
54,0.736,0.823,0.0873,0
71,0.331,0.592,0.0824,0
60,0.651,0.711,0.111,0
46,0.923,0.498,0.389,0
76,0.616,0.653,0.082,0
62,0.647,0.8,0.0109,0
58,0.639,0.685,0.282,0
17,0.621,0.699,0.148,0
57,0.409,0.309,0.781,0
1,0.573,0.304,0.332,1
69,0.67,0.724,0.577,0
57,0.667,0.789,0.0322,1
65,0.47,0.714,0.395,0
49,0.685,0.316,0.303,0
40,0.608,0.727,0.0245,0
61,0.61,0.785,0.188,0
0,0.802,0.564,0.00295,1
48,0.589,0.321,0.00552,1
77,0.967,0.583,0.536,0
68,0.822,0.753,0.0337,0
58,0.86,0.66,0.573,0
55,0.694,0.902,0.0063,0
15,0.584,0.525,0.877,0
86,0.757,0.445,0.474,0
47,0.724,0.576,0.0116,0
64,0.876,0.557,0.0357,0
51,0.543,0.689,0.000416,1
68,0.699,0.583,0.0354,0
59,0.539,0.909,0.00011,0
81,0.822,0.87,0.0142,0
59,0.672,0.655,0.233,1
66,0.591,0.755,0.323,0
3,0.456,0.893,0.00119,0
61,0.963,0.677,2.23e-05,0
45,0.815,0.761,0.000333,0
3,0.561,0.916,2.45e-05,1
67,0.631,0.67,0.0223,0
32,0.442,0.836,0.608,0
72,0.799,0.373,0.259,0
79,0.61,0.507,0.707,0
3,0.699,0.698,0.315,0
22,0.526,0.804,0.033,1
72,0.445,0.357,0.153,0
63,0.62,0.657,0.0757,0
94,0.818,0.54,0.0143,0
46,0.579,0.914,0.0464,0
72,0.607,0.629,0.405,0
58,0.604,0.796,0.0126,0
42,0.902,0.522,0.206,0
64,0.722,0.88,0.21,0
38,0.716,0.869,0.0294,0
0,0.955,0.492,0.0987,0
0,0.849,0.681,0.0327,0
70,0.78,0.787,0.112,0
2,0.684,0.819,0.0133,0
53,0.763,0.364,0.556,0
42,0.346,0.572,0.487,0
14,0.521,0.921,0.026,0
49,0.655,0.203,0.919,0
53,0.703,0.49,0.255,1
63,0.679,0.83,0.266,1
47,0.412,0.296,0.904,1
44,0.693,0.624,0.441,0
43,0.788,0.469,0.74,0
62,0.563,0.31,0.854,0
70,0.335,0.314,0.535,0
45,0.813,0.869,0.365,0
27,0.641,0.914,0.0799,0
79,0.42,0.289,0.645,0
72,0.808,0.586,0.13,0
33,0.591,0.505,0.0645,0
74,0.643,0.626,0.466,0
68,0.575,0.886,0.0647,0
51,0.231,0.465,0.482,0
51,0.638,0.937,0.0942,0
43,0.44,0.138,0.712,1
38,0.892,0.797,0.0965,0
63,0.593,0.697,0.00289,0
39,0.813,0.273,0.143,0
1,0.503,0.926,0.00314,0
83,0.611,0.602,0.628,0
88,0.743,0.87,0.0595,0
62,0.374,0.888,0.0762,0
50,0.483,0.862,0.0164,0
37,0.348,0.0834,0.849,0
57,0.741,0.678,0.451,0
86,0.694,0.574,0.106,0
32,0.833,0.871,0.0406,0
51,0.722,0.867,0.014,0
54,0.501,0.9,0.0586,0
48,0.47,0.917,0.0164,0
71,0.699,0.586,0.264,0
66,0.82,0.501,0.541,0
75,0.788,0.963,0.0542,0
14,0.88,0.726,0.127,0
47,0.575,0.637,0.15,1
37,0.528,0.546,0.59,0
30,0.544,0.138,0.978,0
72,0.705,0.672,0.0215,0
63,0.58,0.622,0.0192,0
40,0.466,0.0758,0.649,1
75,0.697,0.521,0.243,0
21,0.807,0.443,0.715,1
16,0.594,0.696,0.0796,0
34,0.586,0.663,0.202,0
84,0.586,0.839,0.00551,0
91,0.766,0.822,0.0252,0
52,0.277,0.497,0.516,1
34,0.778,0.573,0.36,1
72,0.956,0.544,0.00294,0
51,0.429,0.363,0.338,0
17,0.607,0.378,0.853,1
64,0.759,0.212,0.7,0
20,0.641,0.955,0.00155,0
6,0.728,0.635,0.016,1
56,0.509,0.752,0.0334,0
43,0.735,0.621,0.114,0
36,0.769,0.718,0.16,0
83,0.64,0.864,0.269,0
71,0.573,0.591,0.0107,0
41,0.525,0.844,0.139,0
46,0.464,0.351,0.892,0
61,0.584,0.788,0.252,0
98,0.835,0.626,0.0589,0
57,0.898,0.389,0.424,0
58,0.865,0.338,0.868,0
77,0.491,0.661,0.212,0
55,0.611,0.981,0.000253,0
67,0.642,0.933,0.0657,0
38,0.534,0.445,0.0483,0
65,0.914,0.467,0.321,0
65,0.863,0.584,0.282,0
0,0.67,0.115,0.589,0
69,0.786,0.577,0.723,0
81,0.684,0.816,0.0181,0
28,0.554,0.368,0.814,0
37,0.759,0.833,0.00504,1
4,0.315,0.728,0.00022,1
64,0.588,0.642,0.0489,0
55,0.783,0.887,0.206,0
37,0.453,0.528,0.844,0
0,0.855,0.471,0.404,0
61,0.63,0.214,0.924,0
56,0.619,0.584,0.0154,0
73,0.742,0.892,0.333,0
49,0.451,0.503,0.493,0
87,0.572,0.385,0.371,0
22,0.722,0.84,0.00807,0
6,0.618,0.729,0.541,1
52,0.633,0.434,0.349,0
60,0.538,0.597,0.00434,1
33,0.478,0.977,0.162,0
82,0.773,0.819,0.426,0
71,0.387,0.376,0.865,0
45,0.895,0.884,0.00131,0
72,0.357,0.304,0.943,1
19,0.785,0.91,0.0064,0
67,0.519,0.515,0.61,0
74,0.749,0.907,0.141,0
69,0.841,0.546,0.00474,0
38,0.865,0.571,0.0051,0
70,0.841,0.644,0.594,0
77,0.747,0.445,0.71,1
77,0.521,0.364,0.737,0
57,0.388,0.609,0.385,0
26,0.74,0.996,0.0652,0
54,0.706,0.847,0.106,0
58,0.568,0.605,0.000726,0
68,0.267,0.0213,0.987,1
48,0.507,0.99,2.28e-05,0
72,0.264,0.122,0.808,1
42,0.236,0.823,0.699,0
37,0.658,0.779,0.386,0
40,0.75,0.831,0.0204,1
23,0.734,0.744,0.417,0
24,0.761,0.476,0.00432,1
81,0.684,0.816,0.541,0
29,0.513,0.883,0.0207,1
31,0.598,0.661,0.097,0
20,0.813,0.836,0.178,0
76,0.773,0.457,0.836,0
63,0.865,0.844,0.0582,0
49,0.105,0.19,0.987,1
31,0.573,0.902,0.138,0
88,0.894,0.505,0.0317,0
43,0.594,0.485,0.601,0
67,0.257,0.916,0.137,0
80,0.474,0.594,0.0292,0
4,0.48,0.725,0.53,1
72,0.765,0.29,0.0279,0
52,0.734,0.496,0.454,0
1,0.707,0.679,0.0326,0
33,0.666,0.537,0.045,0
76,0.775,0.823,0.000954,0
59,0.563,0.753,0.263,0
71,0.754,0.916,0.137,0
70,0.688,0.617,0.179,0
64,0.647,0.182,0.857,0
68,0.523,0.438,0.867,0
84,0.457,0.859,0.0323,0
64,0.61,0.824,0.0136,0
68,0.478,0.915,0.00584,0
59,0.827,0.785,0.0291,0
73,0.601,0.914,0.112,0
33,0.824,0.952,0.00194,0
59,0.267,0.356,0.773,1
28,0.619,0.389,0.929,0
7,0.803,0.791,0.00757,0
62,0.593,0.518,0.101,0
62,0.208,0.134,0.992,0
46,0.785,0.741,0.0634,0
71,0.662,0.479,0.0271,0
40,0.48,0.531,0.0191,0
70,0.248,0.777,0.0642,0
68,0.666,0.786,0.0439,0
62,0.433,0.941,0.00148,0
51,0.85,0.379,0.467,0
52,0.825,0.597,0.292,0
73,0.701,0.75,0.657,0
2,0.356,0.104,0.854,0
69,0.313,0.426,0.853,0
32,0.596,0.366,0.0152,0
29,0.392,0.862,0.00403,0
47,0.352,0.935,0.375,0
45,0.514,0.693,0.41,0
28,0.69,0.659,0.00425,0
77,0.728,0.682,0.401,0
60,0.615,0.827,0.00306,0
40,0.656,0.729,0.0229,0
46,0.752,0.872,0.000149,0
30,0.672,0.82,0.0342,0
44,0.662,0.586,0.102,1
60,0.526,0.294,0.859,0
35,0.776,0.564,0.253,0
40,0.875,0.631,0.278,0
37,0.588,0.641,0.235,0
52,0.734,0.149,0.901,0
43,0.486,0.888,0.000644,1
70,0.689,0.77,0.041,1
19,0.298,0.739,0.331,0
3,0.781,0.645,0.0434,0
48,0.474,0.726,0.00395,0
6,0.496,0.785,0.0328,0
12,0.777,0.376,0.826,0
65,0.452,0.818,0.135,0
55,0.735,0.61,0.598,0
52,0.615,0.789,0.0842,0
62,0.874,0.699,0.0563,0
91,0.9,0.653,0.0945,0
31,0.964,0.582,0.183,0
35,0.391,0.548,0.557,0
60,0.811,0.691,0.111,0
23,0.535,0.532,0.0393,0
70,0.655,0.782,0.375,0
52,0.456,0.418,0.878,0
27,0.629,0.83,0.594,0
61,0.229,0.994,0.0997,0
90,0.531,0.854,0.0476,0
47,0.672,0.423,0.852,0
60,0.794,0.483,0.135,1
55,0.415,0.456,0.327,1
56,0.627,0.488,0.292,0
75,0.908,0.783,0.36,0
71,0.356,0.872,0.00417,0
60,0.531,0.484,0.00281,1
45,0.503,0.649,0.487,0
63,0.642,0.648,0.0284,0
72,0.706,0.672,0.0067,0
55,0.784,0.5,0.595,1
21,0.6,0.546,0.521,0
78,0.843,0.805,0.142,0
95,0.841,0.563,0.354,0
44,0.598,0.732,0.431,0
88,0.643,0.721,0.047,0
47,0.741,0.757,0.0426,0
84,0.721,0.782,0.00422,0
4,0.302,0.819,0.061,0
61,0.583,0.692,0.193,0
71,0.572,0.409,0.727,0
72,0.583,0.602,0.368,0
76,0.706,0.637,0.408,0
14,0.841,0.571,0.566,0
68,0.616,0.597,0.686,0
25,0.794,0.748,0.00596,0
60,0.509,0.689,0.0994,0
82,0.31,0.415,0.0339,0
59,0.674,0.864,0.422,0
64,0.582,0.921,0.0532,0
72,0.746,0.511,0.41,1
69,0.374,0.927,6.2e-05,0
63,0.747,0.444,0.431,0
41,0.716,0.831,0.207,0
62,0.682,0.505,0.0891,0
75,0.661,0.908,0.052,0
68,0.453,0.715,0.353,0
39,0.404,0.531,0.747,0
26,0.643,0.235,0.823,0
80,0.614,0.877,0.148,0
60,0.482,0.58,0.0323,0
80,0.801,0.908,0.00148,0
23,0.438,0.653,0.528,0
72,0.58,0.498,0.274,0
62,0.532,0.518,0.0253,0
66,0.964,0.605,0.0668,0
36,0.715,0.73,0.00345,1
58,0.193,0.0325,0.923,1
44,0.761,0.449,0.145,0
35,0.874,0.59,0.0137,0
64,0.525,0.54,0.536,0
35,0.759,0.78,0.0803,0
49,0.498,0.0176,0.974,1
36,0.621,0.937,0.0112,1
0,0.676,0.103,0.823,1
65,0.391,0.8,0.00977,0
56,0.659,0.441,0.401,0
52,0.703,0.73,0.189,0
46,0.439,0.882,0.541,0
68,0.726,0.693,0.0149,1
60,0.63,0.525,0.516,0
39,0.893,0.637,0.163,0
39,0.556,0.426,0.542,0
45,0.5,0.577,0.787,0
65,0.692,0.538,0.317,1
66,0.481,0.392,0.94,0
34,0.901,0.539,0.0208,0
60,0.809,0.804,0.00783,0
62,0.236,0.971,0.0227,0
72,0.794,0.666,0.194,0
56,0.676,0.589,0.0146,1
81,0.647,0.853,0.217,0
37,0.809,0.573,0.0104,1
40,0.773,0.899,0.105,0
70,0.385,0.783,0.0227,0
72,0.719,0.671,0.0372,0
86,0.79,0.629,0.339,0
64,0.593,0.926,0.0355,0
15,0.245,0.64,0.131,0
49,0.806,0.396,0.342,0
29,0.705,0.657,0.64,0
37,0.726,0.818,0.0348,0
30,0.399,0.377,0.755,0
8,0.571,0.821,0.0772,1
67,0.552,0.816,0.0174,0
58,0.613,0.476,0.0448,0
69,0.599,0.717,0.0119,0
43,0.401,0.73,0.565,0
36,0.5,0.891,0.000209,1
52,0.592,0.867,0.00658,0
39,0.524,0.437,0.0528,0
37,0.689,0.828,0.02,0
27,0.336,0.673,0.0533,1
37,0.719,0.301,0.229,1
20,0.738,0.776,0.244,0
72,0.468,0.201,0.915,0
18,0.496,0.983,0.0558,1
49,0.511,0.97,0.000337,0
0,0.708,0.825,0.566,1
70,0.431,0.669,0.712,0
47,0.603,0.617,0.093,1
46,0.538,0.646,0.466,0
41,0.734,0.415,0.333,0
20,0.707,0.979,0.0195,0
46,0.673,0.437,0.142,0
44,0.685,0.494,0.733,0
58,0.638,0.889,0.012,1
51,0.889,0.766,0.00174,0
61,0.394,0.109,0.949,0
61,0.691,0.819,0.0094,0
32,0.545,0.806,0.0543,0
68,0.582,0.544,0.782,0
9,0.73,0.881,0.0111,0
51,0.77,0.00362,0.996,0
45,0.579,0.715,0.136,0
61,0.652,0.184,0.665,0
23,0.488,0.379,0.819,0
83,0.8,0.779,0.264,0
52,0.391,0.419,0.994,1
70,0.587,0.533,0.49,0
68,0.679,0.928,0.0629,0
69,0.749,0.677,0.00188,0
54,0.717,0.918,0.0196,0
43,0.637,0.911,0.0634,0
48,0.379,0.261,0.451,0
68,0.56,0.885,0.047,1
91,0.337,0.789,0.00947,0
55,0.752,0.829,0.0278,0
63,0.566,0.63,0.0837,0
35,0.631,0.835,0.131,0
44,0.814,0.254,0.929,0
27,0.317,0.587,0.718,0
61,0.429,0.438,0.302,0
96,0.501,0.387,0.088,0
56,0.625,0.646,0.119,0
66,0.502,0.43,0.838,0
0,0.476,0.811,0.609,1
24,0.537,0.606,0.0939,0
54,0.368,0.516,0.11,0
92,0.8,0.578,0.00381,0
37,0.456,0.514,0.462,0
77,0.699,0.874,0.000737,0
10,0.84,0.546,0.116,0
1,0.245,0.481,0.695,0
44,0.647,0.476,0.132,0
49,0.77,0.778,0.000101,0
62,0.952,0.957,0.00202,0
65,0.479,0.177,0.0766,0
71,0.636,0.63,0.512,0
57,0.672,0.886,0.00944,0
78,0.944,0.751,0.126,0
61,0.827,0.435,0.302,0
67,0.804,0.834,0.00523,0
26,0.612,0.674,0.384,0
0,0.511,0.812,0.0267,0
25,0.953,0.564,0.0264,0
71,0.778,0.578,0.56,0
70,0.688,0.348,0.519,0
75,0.606,0.707,0.713,0
79,0.799,0.597,0.0788,0
30,0.626,0.81,0.202,0
77,0.867,0.724,0.258,0
24,0.415,0.635,0.236,0
82,0.565,0.54,0.0339,0
98,0.659,0.672,0.153,0
68,0.818,0.612,0.457,0
51,0.606,0.838,0.0282,0
47,0.878,0.971,0.0536,0
12,0.546,0.254,0.365,0
84,0.699,0.819,0.106,0
70,0.673,0.683,0.522,0
56,0.368,0.649,0.599,0
80,0.801,0.908,0.00474,0
5,0.74,0.583,0.116,0
8,0.709,0.816,0.124,0
73,0.836,0.614,0.345,0
73,0.552,0.533,0.352,0
48,0.694,0.104,0.859,0
39,0.467,0.741,0.312,0
47,0.76,0.76,0.000264,0
46,0.61,0.895,0.0118,0
62,0.749,0.922,0.113,1
75,0.825,0.575,0.025,0
48,0.15,0.173,0.952,0
30,0.578,0.459,0.000157,0
94,0.903,0.675,0.207,0
69,0.579,0.865,0.00255,0
72,0.497,0.719,0.0613,0
23,0.482,0.259,0.947,1
76,0.71,0.416,0.882,0
58,0.42,0.588,0.0169,0
51,0.493,0.36,0.959,0
63,0.52,0.908,0.042,0
26,0.478,0.506,0.0111,0
47,0.692,0.519,0.268,0
54,0.659,0.637,0.557,0
14,0.841,0.571,0.65,0
38,0.543,0.847,0.00323,0
58,0.389,0.0471,0.992,0
71,0.766,0.772,0.403,0
40,0.466,0.615,0.413,0
61,0.574,0.903,0.00596,0
41,0.838,0.683,0.102,0
40,0.552,0.786,0.13,0
66,0.816,0.514,0.767,0
87,0.52,0.538,0.00898,0
44,0.811,0.404,0.271,0
35,0.384,0.473,0.892,1
67,0.574,0.512,0.234,0
82,0.709,0.807,0.207,0
72,0.651,0.717,0.0177,0
75,0.9,0.385,0.371,0
71,0.757,0.711,0.0207,0
58,0.64,0.518,0.0153,0
43,0.373,0.67,0.456,0
66,0.664,0.741,0.00509,0
56,0.492,0.709,0.0113,0
14,0.38,0.867,0.129,1
67,0.611,0.47,0.579,0
63,0.427,0.908,0.00325,0
33,0.789,0.609,0.612,0
56,0.69,0.638,0.181,0
64,0.829,0.23,0.653,1
35,0.797,0.633,0.000348,1
53,0.609,0.716,0.129,0
46,0.698,0.647,0.00403,1
56,0.682,0.0964,0.808,1
48,0.672,0.667,0.478,0
62,0.526,0.361,0.431,0
60,0.586,0.208,0.947,0
7,0.465,0.484,0.962,1
4,0.579,0.695,0.000172,1
6,0.482,0.936,0.00782,0
46,0.18,0.555,0.612,1
62,0.449,0.791,0.207,0
72,0.659,0.712,0.0729,0
56,0.779,0.633,0.0358,0
22,0.594,0.97,0.206,0
11,0.485,0.952,0.000449,0
55,0.521,0.348,0.417,0
38,0.537,0.685,0.891,0
47,0.476,0.607,0.329,0
16,0.719,0.896,0.00945,0
6,0.63,0.241,0.795,0
69,0.755,0.469,0.0941,0
63,0.812,0.577,0.417,0
3,0.714,0.797,0.062,0
65,0.734,0.849,0.189,1
49,0.718,0.55,0.679,0
68,0.768,0.522,0.636,0
65,0.638,0.208,0.841,1
18,0.354,0.942,0.00039,0
50,0.478,0.265,0.704,0
46,0.649,0.766,0.711,0
52,0.674,0.557,0.607,0
59,0.799,0.739,0.0685,0
5,0.649,0.966,0.0542,0
77,0.414,0.161,0.883,0
46,0.583,0.707,0.0233,0
73,0.709,0.455,0.0488,0
58,0.474,0.0989,0.919,1
98,0.614,0.798,0.153,0
42,0.709,0.531,0.0215,0
2,0.742,0.745,0.0639,1
62,0.425,0.581,0.000233,0
69,0.498,0.673,0.0319,0
66,0.683,0.647,0.121,0
78,0.746,0.862,0.0601,0
6,0.799,0.58,0.478,0
2,0.56,0.593,0.449,0
70,0.629,0.915,0.319,0
81,0.932,0.662,0.0121,0
60,0.556,0.955,0.0348,0
65,0.817,0.412,0.0874,0
37,0.908,0.534,0.000998,0
10,0.586,0.483,0.935,0
70,0.545,0.747,0.00153,0
37,0.726,0.474,0.353,0
24,0.573,0.772,0.0223,0
52,0.531,0.563,0.0626,0
61,0.856,0.811,0.158,0
71,0.691,0.507,0.694,0
63,0.689,0.636,0.451,0
63,0.736,0.555,0.273,0
32,0.632,0.659,0.341,0
41,0.502,0.745,0.13,0
60,0.542,0.468,0.579,1
61,0.546,0.299,0.674,1
61,0.482,0.593,0.0281,0
64,0.347,0.249,0.826,0
65,0.572,0.579,0.0135,0
60,0.537,0.713,0.227,1
48,0.644,0.493,0.389,0
70,0.816,0.747,0.0609,0
71,0.782,0.616,0.00704,0
68,0.629,0.703,0.519,0
59,0.419,0.866,0.000829,0
57,0.437,0.708,0.135,0
88,0.684,0.811,0.361,0
48,0.716,0.84,0.182,0
64,0.694,0.569,0.105,0
56,0.457,0.926,0.0426,0
72,0.597,0.538,0.5,0
11,0.513,0.493,0.459,0
52,0.723,0.605,0.0596,0
3,0.637,0.987,8.96e-06,0
19,0.856,0.336,0.0403,0
81,0.772,0.817,0.0263,0
51,0.436,0.804,0.209,0
25,0.831,0.513,0.107,0
22,0.331,0.936,0.0126,0
14,0.803,0.479,0.592,0
66,0.708,0.716,0.00261,0
51,0.796,0.105,0.926,1
42,0.981,0.589,0.613,0
60,0.849,0.548,0.0123,0
87,0.772,0.342,0.715,0
63,0.774,0.9,0.508,0
64,0.367,0.663,0.365,0
31,0.646,0.513,0.78,0
52,0.696,0.2,0.773,0
90,0.733,0.63,0.13,0
54,0.513,0.803,0.182,0
47,0.743,0.286,0.0702,1
2,0.557,0.941,0.0268,0
45,0.689,0.806,0.403,0
15,0.823,0.651,0.0612,0
32,0.645,0.206,0.976,0
51,0.582,0.284,0.404,0
51,0.303,0.234,0.819,1
70,0.571,0.816,0.00407,0
22,0.501,0.67,0.023,1
71,0.582,0.606,0.124,0
42,0.695,0.53,0.0167,0
3,0.52,0.761,0.036,0
55,0.643,0.627,0.00773,0
27,0.491,0.335,0.715,1
81,0.878,0.719,0.00267,0
7,0.47,0.244,0.512,0
83,0.607,0.74,0.132,0
24,0.837,0.407,0.435,0
60,0.923,0.768,0.119,0
55,0.612,0.928,0.138,0
61,0.574,0.667,0.186,0
42,0.564,0.985,0.00201,0
50,0.496,0.761,0.0137,0
53,0.728,0.478,0.0465,0
72,0.724,0.865,0.0297,0
59,0.73,0.784,0.414,0
62,0.743,0.801,0.0507,1
39,0.527,0.785,0.0182,0
31,0.49,0.0921,0.95,1
61,0.566,0.226,0.882,0
27,0.527,0.735,0.0148,0
56,0.496,0.966,0.00108,1
67,0.439,0.944,0.128,0
97,0.682,0.73,0.0192,0
55,0.748,0.632,5.76e-05,0
49,0.624,0.686,0.211,0
57,0.568,0.0626,0.937,0
56,0.491,0.521,0.371,0
17,0.653,0.334,0.892,0
7,0.898,0.686,0.0117,0
76,0.64,0.705,0.00832,0
16,0.715,0.91,0.00228,0
70,0.391,0.558,0.547,0
43,0.834,0.786,0.234,0
82,0.911,0.728,0.00175,0
40,0.729,0.267,0.794,0
69,0.62,0.956,0.0786,0
35,0.544,0.548,0.557,0
60,0.672,0.647,0.0533,0
69,0.667,0.613,0.403,1
65,0.59,0.0913,0.995,1
42,0.964,0.38,0.0987,0
84,0.653,0.816,0.228,0
56,0.557,0.407,0.402,0
65,0.736,0.651,0.169,0
56,0.79,0.551,0.221,0
28,0.732,0.243,0.945,0
71,0.648,0.75,0.00162,0
38,0.732,0.166,0.931,1
41,0.694,0.783,0.00292,0
75,0.719,0.967,0.134,0
52,0.375,0.956,0.144,0
50,0.457,0.613,0.236,0
46,0.674,0.886,0.0684,0
27,0.503,0.208,0.21,0
54,0.236,0.33,0.808,1
57,0.819,0.564,0.189,0
58,0.489,0.679,0.422,0
43,0.72,0.888,0.0331,1
32,0.62,0.845,0.000383,0
83,0.916,0.493,0.12,0
61,0.789,0.93,0.0657,0
70,0.82,0.859,0.0317,0
33,0.836,0.342,0.137,1
74,0.586,0.525,0.0705,0
65,0.703,0.863,0.0142,0
81,0.53,0.942,0.0227,0
63,0.831,0.9,0.214,0
31,0.453,0.51,0.0102,0
64,0.517,0.62,0.287,1
85,0.573,0.902,0.018,0
0,0.337,0.791,0.0367,1
1,0.748,0.545,0.191,0
28,0.741,0.92,0.0738,0
66,0.767,0.677,0.292,0
73,0.766,0.623,0.241,0
39,0.926,0.382,0.817,0
1,0.734,0.606,0.648,0
40,0.694,0.856,0.148,0
63,0.684,0.917,0.345,0
64,0.442,0.817,0.0264,0
69,0.634,0.927,0.048,1
6,0.711,0.398,0.721,0
63,0.546,0.912,0.00193,0
0,0.736,0.482,0.327,0
95,0.542,0.902,0.172,0
61,0.378,0.953,0.000719,0
48,0.728,0.412,0.838,1
26,0.59,0.81,0.000742,0
61,0.596,0.897,0.0641,0
37,0.688,0.716,0.125,0
71,0.27,0.931,0.00501,0
61,0.837,0.462,0.187,0
67,0.675,0.466,0.0407,0
